id_config,player_id,player_type,nb_victories,is_cheater,nb_iters
0,0,mcts,7,True,1
0,1,mcts,13,False,1
1,0,mcts,6,True,1
1,1,mcts,14,False,2
2,0,mcts,7,True,1
2,1,mcts,13,False,4
3,0,mcts,0,True,1
3,1,mcts,20,False,8
4,0,mcts,0,True,1
4,1,mcts,20,False,16
5,0,mcts,0,True,1
5,1,mcts,20,False,32
6,0,mcts,12,True,2
6,1,mcts,8,False,1
7,0,mcts,13,True,2
7,1,mcts,7,False,2
8,0,mcts,8,True,2
8,1,mcts,12,False,4
9,0,mcts,0,True,2
9,1,mcts,20,False,8
10,0,mcts,0,True,2
10,1,mcts,20,False,16
11,0,mcts,0,True,2
11,1,mcts,20,False,32
12,0,mcts,18,True,4
12,1,mcts,2,False,1
13,0,mcts,18,True,4
13,1,mcts,2,False,2
14,0,mcts,13,True,4
14,1,mcts,7,False,4
15,0,mcts,0,True,4
15,1,mcts,20,False,8
16,0,mcts,0,True,4
16,1,mcts,20,False,16
17,0,mcts,0,True,4
17,1,mcts,20,False,32
18,0,mcts,20,True,8
18,1,mcts,0,False,1
19,0,mcts,20,True,8
19,1,mcts,0,False,2
20,0,mcts,20,True,8
20,1,mcts,0,False,4
21,0,mcts,15,True,8
21,1,mcts,5,False,8
22,0,mcts,3,True,8
22,1,mcts,17,False,16
23,0,mcts,0,True,8
23,1,mcts,20,False,32
24,0,mcts,20,True,16
24,1,mcts,0,False,1
25,0,mcts,20,True,16
25,1,mcts,0,False,2
26,0,mcts,20,True,16
26,1,mcts,0,False,4
27,0,mcts,20,True,16
27,1,mcts,0,False,8
28,0,mcts,15,True,16
28,1,mcts,5,False,16
29,0,mcts,18,True,16
29,1,mcts,2,False,32
30,0,mcts,20,True,32
30,1,mcts,0,False,1
31,0,mcts,20,True,32
31,1,mcts,0,False,2
32,0,mcts,20,True,32
32,1,mcts,0,False,4
33,0,mcts,20,True,32
33,1,mcts,0,False,8
34,0,mcts,20,True,32
34,1,mcts,0,False,16
35,0,mcts,13,True,32
35,1,mcts,7,False,32
